epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.9556,1.20467,2.67855,1.40638,1,0.05641,0.38164,0.27572,0.93241,3.17681,1.17004,0.0003,0.0003,0.0003
2,165.598,1.15217,1.82837,1.29554,0.97006,0.25124,0.45111,0.32213,1.02782,3.04098,1.29088,0.000613862,0.000613862,0.000613862
3,248.649,1.24734,1.7903,1.32763,0.57708,0.35659,0.38934,0.22851,1.2083,2.98644,1.44464,0.000921388,0.000921388,0.000921388
4,329.478,1.3171,1.73987,1.43837,0.55125,0.44186,0.44999,0.29163,1.36093,2.75313,1.75287,0.00122258,0.00122258,0.00122258
5,410.989,1.2984,1.61439,1.39335,0.43653,0.31008,0.31628,0.18527,1.44495,2.85562,1.70908,0.00151743,0.00151743,0.00151743
6,492.029,1.3254,1.64281,1.40881,0.35391,0.35659,0.29356,0.14406,1.77578,3.05283,1.88399,0.00180595,0.00180595,0.00180595
7,574.417,1.27496,1.52572,1.34585,0.17114,0.1938,0.07926,0.0264,2.25344,3.75288,2.63083,0.0018812,0.0018812,0.0018812
8,653.081,1.29359,1.50851,1.38729,0.20139,0.29457,0.14141,0.05389,2.10706,4.38564,2.55106,0.0018614,0.0018614,0.0018614
9,731.495,1.29122,1.46729,1.43343,0.5086,0.51163,0.49395,0.29946,1.53503,2.8579,1.92422,0.0018416,0.0018416,0.0018416
10,810.445,1.2887,1.39505,1.3812,0.58681,0.5835,0.5571,0.34749,1.46318,2.70769,1.80204,0.0018218,0.0018218,0.0018218
11,893.739,1.28929,1.44488,1.43156,0.5662,0.50388,0.50723,0.3126,1.46453,2.39489,1.74823,0.001802,0.001802,0.001802
12,977.481,1.23249,1.31655,1.34997,0.6012,0.53488,0.55425,0.33259,1.45926,2.33269,1.68272,0.0017822,0.0017822,0.0017822
13,1060.16,1.29993,1.35052,1.35655,0.61117,0.56051,0.6033,0.35439,1.50143,2.34252,1.61262,0.0017624,0.0017624,0.0017624
14,1140.13,1.24494,1.31192,1.37978,0.6895,0.6197,0.6852,0.40929,1.58467,1.7597,1.71865,0.0017426,0.0017426,0.0017426
15,1227.55,1.20717,1.22178,1.35585,0.6884,0.6124,0.64829,0.40044,1.46169,1.68193,1.66882,0.0017228,0.0017228,0.0017228
16,1311.9,1.27554,1.22989,1.35675,0.41586,0.43599,0.33035,0.19337,1.49757,2.56537,1.64065,0.001703,0.001703,0.001703
17,1396.29,1.18875,1.20295,1.30761,0.50644,0.44186,0.41292,0.24664,1.50964,2.17025,1.69274,0.0016832,0.0016832,0.0016832
18,1475.78,1.23572,1.23219,1.38803,0.64402,0.47686,0.55192,0.33506,1.40555,1.87019,1.57899,0.0016634,0.0016634,0.0016634
19,1553.42,1.24257,1.15842,1.35651,0.62731,0.58915,0.59513,0.36856,1.33878,1.75335,1.56575,0.0016436,0.0016436,0.0016436
20,1631.92,1.12994,1.07634,1.27939,0.58035,0.68992,0.64812,0.41059,1.35343,1.70577,1.4997,0.0016238,0.0016238,0.0016238
21,1709.72,1.18169,1.00364,1.34119,0.7799,0.58915,0.67133,0.38145,1.60813,1.53693,1.81009,0.001604,0.001604,0.001604
22,1790.21,1.2013,1.07528,1.31584,0.74615,0.66667,0.7092,0.45938,1.30737,1.52435,1.49798,0.0015842,0.0015842,0.0015842
23,1868.65,1.12318,1.0253,1.31464,0.73486,0.68992,0.73868,0.46422,1.37032,1.33662,1.51865,0.0015644,0.0015644,0.0015644
24,1947.09,1.10337,1.04703,1.28614,0.81968,0.70543,0.74879,0.49367,1.16722,1.38835,1.33859,0.0015446,0.0015446,0.0015446
25,2030.09,1.14105,0.99915,1.27156,0.80111,0.63566,0.67325,0.44146,1.23722,1.60915,1.38158,0.0015248,0.0015248,0.0015248
26,2114.82,1.15653,0.97341,1.25543,0.69539,0.58915,0.65435,0.43673,1.32433,1.66578,1.44659,0.001505,0.001505,0.001505
27,2196.83,1.17665,0.94856,1.29551,0.73442,0.68992,0.70657,0.42524,1.42715,1.78543,1.54707,0.0014852,0.0014852,0.0014852
28,2272.39,1.10894,0.95067,1.25516,0.76951,0.65116,0.72811,0.47616,1.35705,1.35532,1.52862,0.0014654,0.0014654,0.0014654
29,2351.83,1.11451,0.98736,1.27615,0.77913,0.68992,0.74137,0.4866,1.17366,1.46026,1.32843,0.0014456,0.0014456,0.0014456
30,2428.39,1.11522,0.95305,1.26483,0.75558,0.62791,0.69367,0.41446,1.3182,1.61528,1.46125,0.0014258,0.0014258,0.0014258
31,2503.55,1.13011,0.96421,1.27197,0.75633,0.60156,0.6896,0.44893,1.22881,1.47457,1.41115,0.001406,0.001406,0.001406
32,2582.58,1.10161,0.95394,1.25956,0.77868,0.69767,0.72243,0.47946,1.20206,1.29902,1.40586,0.0013862,0.0013862,0.0013862
33,2662.59,1.08682,0.94,1.26728,0.80999,0.66094,0.71128,0.47004,1.19592,1.33394,1.40753,0.0013664,0.0013664,0.0013664
